entity_id,label,entity_type,wikidata_qid
ENT00590,Throughout Name Quarterly,publication,Q75957678
ENT00591,Mitchell and Sons,organization,Q22814919
ENT00592,Cole-Palmer,organization,Q10599052
ENT00593,Davisbury,place,Q51344326
ENT00594,Wilkersontown,place,Q91688871
ENT00595,Brown-Shaw,organization,Q66795867
ENT00596,South Virginia,place,Q19209035
ENT00597,Walker-Flores,organization,Q61894593
ENT00598,DarkGreen Those,product,Q61682608
ENT00599,MediumSeaGreen Strong,product,Q89501946
